"Time (UTC),""Belgium (BE) > Germany (DE) Day Ahead [MW]"",""Belgium (BE) > Germany (DE) Total [MW]"",""Germany (DE) > Belgium (BE) Day Ahead [MW]"",""Germany (DE) > Belgium (BE) Total [MW]"""
"03.01.2021 11:45 - 03.01.2021 12:00,""0"",""0"",""954"",""954"""
"03.01.2021 12:00 - 03.01.2021 12:15,""0"",""0"",""922"",""922"""
"03.01.2021 12:15 - 03.01.2021 12:30,""0"",""0"",""922"",""922"""
"03.01.2021 12:30 - 03.01.2021 12:45,""0"",""0"",""922"",""922"""
"03.01.2021 12:45 - 03.01.2021 13:00,""0"",""0"",""922"",""922"""
"03.01.2021 13:00 - 03.01.2021 13:15,""0"",""0"",""944"",""944"""
"03.01.2021 13:15 - 03.01.2021 13:30,""0"",""0"",""944"",""944"""
"03.01.2021 13:30 - 03.01.2021 13:45,""0"",""0"",""944"",""944"""
"03.01.2021 13:45 - 03.01.2021 14:00,""0"",""0"",""944"",""944"""
"03.01.2021 14:00 - 03.01.2021 14:15,""0"",""0"",""864"",""864"""
"03.01.2021 14:15 - 03.01.2021 14:30,""0"",""0"",""864"",""864"""
"03.01.2021 14:30 - 03.01.2021 14:45,""0"",""0"",""864"",""864"""
"03.01.2021 14:45 - 03.01.2021 15:00,""0"",""0"",""864"",""864"""
"03.01.2021 15:00 - 03.01.2021 15:15,""0"",""25"",""1000"",""1000"""
"03.01.2021 15:15 - 03.01.2021 15:30,""0"",""0"",""1000"",""1000"""
"03.01.2021 15:30 - 03.01.2021 15:45,""0"",""0"",""1000"",""1000"""
"03.01.2021 15:45 - 03.01.2021 16:00,""0"",""0"",""1000"",""1000"""
"03.01.2021 16:00 - 03.01.2021 16:15,""0"",""372"",""1000"",""1000"""
"03.01.2021 16:15 - 03.01.2021 16:30,""0"",""338"",""1000"",""1000"""
"03.01.2021 16:30 - 03.01.2021 16:45,""0"",""338"",""1000"",""1000"""
"03.01.2021 16:45 - 03.01.2021 17:00,""0"",""336"",""1000"",""1000"""
"03.01.2021 17:00 - 03.01.2021 17:15,""0"",""0"",""1000"",""1000"""
"03.01.2021 17:15 - 03.01.2021 17:30,""0"",""0"",""1000"",""1000"""
"03.01.2021 17:30 - 03.01.2021 17:45,""0"",""0"",""1000"",""1000"""
"03.01.2021 17:45 - 03.01.2021 18:00,""0"",""0"",""1000"",""1000"""
"03.01.2021 18:00 - 03.01.2021 18:15,""0"",""0"",""604"",""604"""
"03.01.2021 18:15 - 03.01.2021 18:30,""0"",""0"",""604"",""604"""
"03.01.2021 18:30 - 03.01.2021 18:45,""0"",""0"",""604"",""604"""
"03.01.2021 18:45 - 03.01.2021 19:00,""0"",""0"",""604"",""604"""
"03.01.2021 19:00 - 03.01.2021 19:15,""0"",""0"",""1000"",""1000"""
"03.01.2021 19:15 - 03.01.2021 19:30,""0"",""0"",""1000"",""1000"""
"03.01.2021 19:30 - 03.01.2021 19:45,""0"",""0"",""1000"",""1000"""
